year,city,country,avg_temp
1743,Ottawa,Canada,-2.46
1744,Ottawa,Canada,6.94
1745,Ottawa,Canada,-6.59
1746,Ottawa,Canada,
1747,Ottawa,Canada,
1748,Ottawa,Canada,
1749,Ottawa,Canada,
1750,Ottawa,Canada,4.47
1751,Ottawa,Canada,5.10
1752,Ottawa,Canada,-3.73
1753,Ottawa,Canada,3.90
1754,Ottawa,Canada,3.96
1755,Ottawa,Canada,0.65
1756,Ottawa,Canada,4.23
1757,Ottawa,Canada,3.18
1758,Ottawa,Canada,2.58
1759,Ottawa,Canada,3.39
1760,Ottawa,Canada,1.81
1761,Ottawa,Canada,4.43
1762,Ottawa,Canada,4.14
1763,Ottawa,Canada,1.28
1764,Ottawa,Canada,3.68
1765,Ottawa,Canada,3.13
1766,Ottawa,Canada,4.45
1767,Ottawa,Canada,2.71
1768,Ottawa,Canada,3.12
1769,Ottawa,Canada,3.56
1770,Ottawa,Canada,3.54
1771,Ottawa,Canada,4.26
1772,Ottawa,Canada,4.04
1773,Ottawa,Canada,4.43
1774,Ottawa,Canada,3.69
1775,Ottawa,Canada,4.75
1776,Ottawa,Canada,3.79
1777,Ottawa,Canada,3.30
1778,Ottawa,Canada,1.14
1779,Ottawa,Canada,4.30
1780,Ottawa,Canada,7.02
1781,Ottawa,Canada,4.12
1782,Ottawa,Canada,3.53
1783,Ottawa,Canada,3.23
1784,Ottawa,Canada,2.96
1785,Ottawa,Canada,2.94
1786,Ottawa,Canada,3.45
1787,Ottawa,Canada,3.46
1788,Ottawa,Canada,4.15
1789,Ottawa,Canada,3.83
1790,Ottawa,Canada,3.78
1791,Ottawa,Canada,3.78
1792,Ottawa,Canada,3.19
1793,Ottawa,Canada,4.25
1794,Ottawa,Canada,4.25
1795,Ottawa,Canada,3.68
1796,Ottawa,Canada,3.56
1797,Ottawa,Canada,3.31
1798,Ottawa,Canada,4.03
1799,Ottawa,Canada,3.59
1800,Ottawa,Canada,4.09
1801,Ottawa,Canada,4.49
1802,Ottawa,Canada,4.70
1803,Ottawa,Canada,4.35
1804,Ottawa,Canada,4.08
1805,Ottawa,Canada,4.69
1806,Ottawa,Canada,3.73
1807,Ottawa,Canada,3.55
1808,Ottawa,Canada,3.81
1809,Ottawa,Canada,3.05
1810,Ottawa,Canada,3.53
1811,Ottawa,Canada,3.70
1812,Ottawa,Canada,2.04
1813,Ottawa,Canada,3.35
1814,Ottawa,Canada,3.17
1815,Ottawa,Canada,2.67
1816,Ottawa,Canada,2.21
1817,Ottawa,Canada,2.21
1818,Ottawa,Canada,2.83
1819,Ottawa,Canada,3.33
1820,Ottawa,Canada,3.34
1821,Ottawa,Canada,3.19
1822,Ottawa,Canada,3.74
1823,Ottawa,Canada,2.81
1824,Ottawa,Canada,3.53
1825,Ottawa,Canada,4.51
1826,Ottawa,Canada,4.44
1827,Ottawa,Canada,3.81
1828,Ottawa,Canada,4.80
1829,Ottawa,Canada,3.39
1830,Ottawa,Canada,4.17
1831,Ottawa,Canada,3.45
1832,Ottawa,Canada,3.57
1833,Ottawa,Canada,3.54
1834,Ottawa,Canada,3.73
1835,Ottawa,Canada,2.59
1836,Ottawa,Canada,2.17
1837,Ottawa,Canada,2.46
1838,Ottawa,Canada,2.75
1839,Ottawa,Canada,3.65
1840,Ottawa,Canada,3.91
1841,Ottawa,Canada,3.39
1842,Ottawa,Canada,3.43
1843,Ottawa,Canada,2.98
1844,Ottawa,Canada,2.94
1845,Ottawa,Canada,3.23
1846,Ottawa,Canada,4.04
1847,Ottawa,Canada,3.52
1848,Ottawa,Canada,3.78
1849,Ottawa,Canada,3.19
1850,Ottawa,Canada,3.33
1851,Ottawa,Canada,3.22
1852,Ottawa,Canada,3.37
1853,Ottawa,Canada,3.59
1854,Ottawa,Canada,3.42
1855,Ottawa,Canada,3.38
1856,Ottawa,Canada,2.67
1857,Ottawa,Canada,3.17
1858,Ottawa,Canada,3.27
1859,Ottawa,Canada,3.21
1860,Ottawa,Canada,3.58
1861,Ottawa,Canada,3.46
1862,Ottawa,Canada,2.81
1863,Ottawa,Canada,3.22
1864,Ottawa,Canada,3.99
1865,Ottawa,Canada,3.83
1866,Ottawa,Canada,3.29
1867,Ottawa,Canada,3.00
1868,Ottawa,Canada,2.81
1869,Ottawa,Canada,3.11
1870,Ottawa,Canada,4.76
1871,Ottawa,Canada,3.24
1872,Ottawa,Canada,3.30
1873,Ottawa,Canada,2.94
1874,Ottawa,Canada,3.18
1875,Ottawa,Canada,1.55
1876,Ottawa,Canada,3.37
1877,Ottawa,Canada,5.01
1878,Ottawa,Canada,5.39
1879,Ottawa,Canada,3.09
1880,Ottawa,Canada,4.12
1881,Ottawa,Canada,4.49
1882,Ottawa,Canada,3.74
1883,Ottawa,Canada,2.43
1884,Ottawa,Canada,3.48
1885,Ottawa,Canada,2.28
1886,Ottawa,Canada,3.31
1887,Ottawa,Canada,3.11
1888,Ottawa,Canada,2.65
1889,Ottawa,Canada,4.40
1890,Ottawa,Canada,3.19
1891,Ottawa,Canada,4.54
1892,Ottawa,Canada,3.67
1893,Ottawa,Canada,2.94
1894,Ottawa,Canada,4.52
1895,Ottawa,Canada,3.95
1896,Ottawa,Canada,3.61
1897,Ottawa,Canada,4.04
1898,Ottawa,Canada,4.96
1899,Ottawa,Canada,4.22
1900,Ottawa,Canada,4.19
1901,Ottawa,Canada,4.11
1902,Ottawa,Canada,4.10
1903,Ottawa,Canada,3.99
1904,Ottawa,Canada,2.19
1905,Ottawa,Canada,3.31
1906,Ottawa,Canada,4.16
1907,Ottawa,Canada,2.94
1908,Ottawa,Canada,4.06
1909,Ottawa,Canada,3.98
1910,Ottawa,Canada,4.28
1911,Ottawa,Canada,4.43
1912,Ottawa,Canada,3.11
1913,Ottawa,Canada,5.01
1914,Ottawa,Canada,3.14
1915,Ottawa,Canada,5.02
1916,Ottawa,Canada,3.91
1917,Ottawa,Canada,2.15
1918,Ottawa,Canada,3.55
1919,Ottawa,Canada,4.32
1920,Ottawa,Canada,4.05
1921,Ottawa,Canada,5.51
1922,Ottawa,Canada,4.51
1923,Ottawa,Canada,3.33
1924,Ottawa,Canada,3.43
1925,Ottawa,Canada,3.89
1926,Ottawa,Canada,2.59
1927,Ottawa,Canada,4.49
1928,Ottawa,Canada,3.98
1929,Ottawa,Canada,3.71
1930,Ottawa,Canada,4.73
1931,Ottawa,Canada,5.79
1932,Ottawa,Canada,4.69
1933,Ottawa,Canada,4.19
1934,Ottawa,Canada,3.39
1935,Ottawa,Canada,3.61
1936,Ottawa,Canada,3.70
1937,Ottawa,Canada,5.23
1938,Ottawa,Canada,4.81
1939,Ottawa,Canada,3.71
1940,Ottawa,Canada,3.49
1941,Ottawa,Canada,4.76
1942,Ottawa,Canada,4.80
1943,Ottawa,Canada,3.26
1944,Ottawa,Canada,4.63
1945,Ottawa,Canada,4.64
1946,Ottawa,Canada,4.78
1947,Ottawa,Canada,4.41
1948,Ottawa,Canada,4.84
1949,Ottawa,Canada,5.48
1950,Ottawa,Canada,4.13
1951,Ottawa,Canada,4.63
1952,Ottawa,Canada,5.36
1953,Ottawa,Canada,6.12
1954,Ottawa,Canada,4.26
1955,Ottawa,Canada,4.87
1956,Ottawa,Canada,3.86
1957,Ottawa,Canada,4.88
1958,Ottawa,Canada,3.90
1959,Ottawa,Canada,4.56
1960,Ottawa,Canada,4.83
1961,Ottawa,Canada,4.69
1962,Ottawa,Canada,3.84
1963,Ottawa,Canada,3.73
1964,Ottawa,Canada,4.82
1965,Ottawa,Canada,3.88
1966,Ottawa,Canada,4.62
1967,Ottawa,Canada,3.95
1968,Ottawa,Canada,4.24
1969,Ottawa,Canada,4.63
1970,Ottawa,Canada,3.98
1971,Ottawa,Canada,4.14
1972,Ottawa,Canada,3.33
1973,Ottawa,Canada,5.47
1974,Ottawa,Canada,3.92
1975,Ottawa,Canada,4.97
1976,Ottawa,Canada,3.48
1977,Ottawa,Canada,4.69
1978,Ottawa,Canada,3.60
1979,Ottawa,Canada,4.79
1980,Ottawa,Canada,3.70
1981,Ottawa,Canada,5.10
1982,Ottawa,Canada,4.16
1983,Ottawa,Canada,5.13
1984,Ottawa,Canada,4.88
1985,Ottawa,Canada,4.09
1986,Ottawa,Canada,4.50
1987,Ottawa,Canada,5.27
1988,Ottawa,Canada,4.84
1989,Ottawa,Canada,3.68
1990,Ottawa,Canada,5.57
1991,Ottawa,Canada,5.46
1992,Ottawa,Canada,3.69
1993,Ottawa,Canada,3.96
1994,Ottawa,Canada,4.06
1995,Ottawa,Canada,4.81
1996,Ottawa,Canada,4.66
1997,Ottawa,Canada,3.99
1998,Ottawa,Canada,6.68
1999,Ottawa,Canada,6.02
2000,Ottawa,Canada,4.61
2001,Ottawa,Canada,6.01
2002,Ottawa,Canada,5.47
2003,Ottawa,Canada,4.40
2004,Ottawa,Canada,4.46
2005,Ottawa,Canada,5.53
2006,Ottawa,Canada,6.30
2007,Ottawa,Canada,4.96
2008,Ottawa,Canada,5.01
2009,Ottawa,Canada,4.71
2010,Ottawa,Canada,6.73
2011,Ottawa,Canada,6.14
2012,Ottawa,Canada,6.59
2013,Ottawa,Canada,7.08
